id, folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, reference_type, heating_type, poly_n, poly_Nrho, gravity_power, dimensional, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
   1, ksoderlu/GridTest,      256,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .FALSE., .TRUE., .TRUE.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        3,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   2, ksoderlu/IG_Dynamo_chi020_tanh_w0.11_c0.00,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   3, ksoderlu/IG_Dynamo_chi020_tanh_w0.11_c0.25,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   4, ksoderlu/IG_Dynamo_chi020_tanh_w0.20_c0.00,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   5, ksoderlu/IG_Dynamo_chi020_tanh_w0.20_c0.25,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   6, ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.00,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   7, ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.25,      384,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   8, ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.25_nr192,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
   9, ksoderlu/IG_ThickDynamo_ConstCond_chi020,      128,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
  10, ksoderlu/IG_ThickDynamo_ConstCond_chi020_nr192,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
