 folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
ksoderlu/GridTest,256,768,2E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_Dynamo_chi020_tanh_w0.11_c0.00,192,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_Dynamo_chi020_tanh_w0.11_c0.25,192,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_Dynamo_chi020_tanh_w0.20_c0.00,192,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_Dynamo_chi020_tanh_w0.20_c0.25,192,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.00,192,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.25,384,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_Dynamo_chi020_tanh_w0.60_c0.25_nr192,192,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_ThickDynamo_ConstCond_chi020,128,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
ksoderlu/IG_ThickDynamo_ConstCond_chi020_nr192,192,768,2E-01,1E+00, .true., .true., .true., .false., .false.,3E-04,1E+00,1E+00,2.22E+07,-1E+00, .false., .true.,-1.000000015047E+30, .false.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .false.,1E+00,1E+00, 
