Name, Parameter
:math:`N_{r}`, n_r,      384
:math:`N_{\theta}`, n_theta,     1152
:math:`Np_{column}`, npcol,      128
:math:`Np_{row}`, nprow,      256
:math:`r_o / r_i`, aspect_ratio,   9.50E-01
:math:`r_o - r_i`, shell_depth,   1.00E+00
Chebyshev grid, chebyshev, .true.
rotation, rotation, .true.                                                                                                                                                                                                                                                         
magnetism, magnetism, .FALSE.                                                                                                                                                                                                                                                        
viscous heating, viscous_heating, .TRUE.                                                                                                                                                                                                                                                         
:math:`E = \frac{\nu}{\Omega L^2}`, Ekman_Number,      1.000000000000E-05
:math:`Pr`, Prandtl_Number,      1.000000000000E+00
:math:`Ram`, Modified_Rayleigh_Number,      1.000000000000E+00
Non slip boundary, no_slip_boundaries, .false.                                                                                                                                                                                                                                                        
Fixed :math:`\frac{dT}{dr}` at :math:`r_i`, fix_dtdr_bottom, .true.                                                                                                                                                                                                                                                         
:math:`\frac{dT}{dr}|_{r=r_i}`, dTdr_bottom,     -1.000000000000E+00
Fixed :math:`\frac{dT}{dr}` at :math:`r_o`, fix_dtdr_top, .true.                                                                                                                                                                                                                                                         
:math:`\frac{dT}{dr}|_{r=r_o}`, dTdr_top,      2.500000000000E+02
Reference type, reference_type,    3
Heating type, heating_type,    1
:math:`n_{\p}`, poly_n,      1.000000000000E+00
:math:`n_{\rho}`, poly_Nrho,      5.000000000000E+00
:math:`n_{g}`, gravity_power,     -1.000000015047E+30
Hyper-diffusion, hyperdiffusion, .true.
:math:`\alpha`, hyperdiffusion_alpha,      9.000000000000E+01
:math:`\beta`, hyperdiffusion_beta,      3.000000000000E+00
