Name, Parameter
n_r,      256
n_theta,      768
aspect_ratio,      3.500000000000E-01
shell_depth,      1.000000000000E+00
chebyshev, .true.
rotation, .True.
magnetism, .true.
viscous_heating, .false.
ohmic_heating, .false.
Ekman_Number,      1.000000000000E-06
Prandtl_Number,      1.000000000000E-01
Magnetic_Prandtl_Number,      5.000000000000E-02
Rayleigh_Number,      2.500000000000E+09
Modified_Rayleigh_Number,     -1.000000000000E+00
no_slip_boundaries, .true.
fix_tvar_bottom, .true.
T_bottom,      1.000000000000E+00
fix_dtdr_bottom, .DEFAULT.
dTdr_bottom,      0.000000000000E+00
fix_tvar_top, .true.
T_top,      0.000000000000E+00
fix_dtdr_top, .false.
dTdr_top,      0.000000000000E+00
reference_type,        1
heating_type,        0
poly_n,     -1.000000015047E+30
poly_Nrho,     -1.000000015047E+30
gravity_power,      1.000000000000E+00
dimensional, .false.
hyperdiffusion, .true.
hyperdiffusion_alpha,      4.000000000000E+00
hyperdiffusion_beta,      7.000000000000E+00
