 folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
 ryadav/full_convec,256,384,5E-02,1E+00, .true., .True., .true., .DEFAULT., .DEFAULT.,1E-04,1E-01,1E+00,-1E+00,3E+00, .false., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .true.,2E+01,3E+00,
 ryadav/test,256,768,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-06,1E+00,1E+00,3E+09,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30,
ryadav/ensemble2/Pm0.05_Pr1_eta0.35_Ek1E-6_Ra2.5E10_no-slip_dyn,512,1536,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-06,1E+00,5E-02,2.5E+10,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .true.,3E+00,7E+00,
ryadav/ensemble2/Pm0.1_Pr1_eta0.35_Ek1E-6_Ra1E10_no-slip_dyn,512,768,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-06,1E+00,1E-01,1E+10,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .true.,4E+00,7E+00,
ryadav/ensemble2/Pm0.2_Pr1_eta0.35_Ek1E-6_Ra5E9_no-slip_dyn,512,768,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-06,1E+00,2E-01,5E+09,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .false.,5E+00,7E+00,
ryadav/ensemble3/Pm0.05_Pr0.1_eta0.35_Ek1E-6_Ra2.5E9_no-slip_dyn,256,768,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-06,1E-01,5E-02,2.5E+09,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .true.,4E+00,7E+00,
ryadav/ensemble3/Pm0.5_Pr1_eta0.35_Ek1E-6_Ra3E9_no-slip_dyn,256,768,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-06,1E+00,5E-01,3E+09,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30,
ryadav/ensemble3/Pm1_Pr1_eta0.35_Ek1E-6_Ra3E9_no-slip_dyn,256,768,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-06,1E+00,1E+00,3E+09,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .true.,3E+00,6E+00,
ryadav/ensemble4/Pm0.03_Pr1_eta0.35_Ek1E-7_Ra3E11_no-slip_dyn,512,1536,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-07,1E+00,3E-02,3E+11,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .true.,8E+00,5E+00,
ryadav/ensemble4/Pm0.05_Pr1_eta0.35_Ek1E-7_Ra1.5E11_no-slip_dyn,512,1536,3.5E-01,1E+00, .true., .True., .true., .false., .false.,1E-07,1E+00,5E-02,1.5E+11,-1E+00, .true., .true.,1E+00, .DEFAULT.,0E+00, .true.,0E+00, .false.,0E+00, .true.,3E+00,1E+01,
